classId,className,classType
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000013,Congenital Abnormalities,DISEASE
D000016,"Abnormalities, Radiation-Induced",DISEASE
D009358,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities",DISEASE
D011832,Radiation Injuries,DISEASE
D014947,Wounds and Injuries,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000022,"Abortion, Spontaneous",DISEASE
D005261,Female Urogenital Diseases and Pregnancy Complications,DISEASE
D011247,Pregnancy,DISEASE
D011248,Pregnancy Complications,DISEASE
D011256,Pregnancy Outcome,DISEASE
D012098,Reproduction,DISEASE
D055703,Reproductive Physiological Phenomena,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X2,"Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000022,"Abortion, Spontaneous",DISEASE
D000026,"Abortion, Habitual",DISEASE
D005261,Female Urogenital Diseases and Pregnancy Complications,DISEASE
D011247,Pregnancy,DISEASE
D011248,Pregnancy Complications,DISEASE
D011256,Pregnancy Outcome,DISEASE
D012098,Reproduction,DISEASE
D055703,Reproductive Physiological Phenomena,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X2,"Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000022,"Abortion, Spontaneous",DISEASE
D000027,"Abortion, Incomplete",DISEASE
D005261,Female Urogenital Diseases and Pregnancy Complications,DISEASE
D011247,Pregnancy,DISEASE
D011248,Pregnancy Complications,DISEASE
D011256,Pregnancy Outcome,DISEASE
D012098,Reproduction,DISEASE
D055703,Reproductive Physiological Phenomena,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X2,"Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000022,"Abortion, Spontaneous",DISEASE
D000030,"Abortion, Missed",DISEASE
D005261,Female Urogenital Diseases and Pregnancy Complications,DISEASE
D011247,Pregnancy,DISEASE
D011248,Pregnancy Complications,DISEASE
D011256,Pregnancy Outcome,DISEASE
D012098,Reproduction,DISEASE
D055703,Reproductive Physiological Phenomena,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X2,"Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000022,"Abortion, Spontaneous",DISEASE
D000031,"Abortion, Septic",DISEASE
D005261,Female Urogenital Diseases and Pregnancy Complications,DISEASE
D007239,Infections,DISEASE
D011247,Pregnancy,DISEASE
D011248,Pregnancy Complications,DISEASE
D011251,"Pregnancy Complications, Infectious",DISEASE
D011256,Pregnancy Outcome,DISEASE
D012098,Reproduction,DISEASE
D055703,Reproductive Physiological Phenomena,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X2,"Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000033,"Abortion, Threatened",DISEASE
D005261,Female Urogenital Diseases and Pregnancy Complications,DISEASE
D011248,Pregnancy Complications,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000022,"Abortion, Spontaneous",DISEASE
D000034,"Abortion, Veterinary",DISEASE
D000820,Animal Diseases,DISEASE
D005261,Female Urogenital Diseases and Pregnancy Complications,DISEASE
D011247,Pregnancy,DISEASE
D011248,Pregnancy Complications,DISEASE
D011256,Pregnancy Outcome,DISEASE
D012098,Reproduction,DISEASE
D055703,Reproductive Physiological Phenomena,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X2,"Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000037,Abruptio Placentae,DISEASE
D005261,Female Urogenital Diseases and Pregnancy Complications,DISEASE
D007744,Obstetric Labor Complications,DISEASE
D010922,Placenta Diseases,DISEASE
D011248,Pregnancy Complications,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000038,Abscess,DISEASE
D007239,Infections,DISEASE
D007249,Inflammation,DISEASE
D010335,Pathologic Processes,DISEASE
D013492,Suppuration,DISEASE
D013568,"Pathological Conditions, Signs and Symptoms",DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000038,Abscess,DISEASE
D000039,Peritonsillar Abscess,DISEASE
D007239,Infections,DISEASE
D007249,Inflammation,DISEASE
D009057,Stomatognathic Diseases,DISEASE
D010038,Otorhinolaryngologic Diseases,DISEASE
D010335,Pathologic Processes,DISEASE
D010608,Pharyngeal Diseases,DISEASE
D010612,Pharyngitis,DISEASE
D012140,Respiratory Tract Diseases,DISEASE
D012141,Respiratory Tract Infections,DISEASE
D013492,Suppuration,DISEASE
D013568,"Pathological Conditions, Signs and Symptoms",DISEASE
D014069,Tonsillitis,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000051,Acantholysis,DISEASE
D010335,Pathologic Processes,DISEASE
D012871,Skin Diseases,DISEASE
D012872,"Skin Diseases, Vesiculobullous",DISEASE
D013568,"Pathological Conditions, Signs and Symptoms",DISEASE
D017437,Skin and Connective Tissue Diseases,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000052,Acanthosis Nigricans,DISEASE
D008548,Melanosis,DISEASE
D010335,Pathologic Processes,DISEASE
D010859,Pigmentation Disorders,DISEASE
D012871,Skin Diseases,DISEASE
D013568,"Pathological Conditions, Signs and Symptoms",DISEASE
D017437,Skin and Connective Tissue Diseases,DISEASE
D017495,Hyperpigmentation,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000057,Accident Proneness,DISEASE
D001519,Behavior,DISEASE
D001520,Behavior and Behavior Mechanisms,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X2,"Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
D000066448,Driving Under the Influence,DISEASE
D000066479,Criminal Behavior,DISEASE
D001519,Behavior,DISEASE
D001520,Behavior and Behavior Mechanisms,DISEASE
D003617,Dangerous Behavior,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X2,"Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
D000066479,Criminal Behavior,DISEASE
D001519,Behavior,DISEASE
D001520,Behavior and Behavior Mechanisms,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X2,"Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
D000066498,Emotional Adjustment,DISEASE
D000223,"Adaptation, Psychological",DISEASE
D001520,Behavior and Behavior Mechanisms,DISEASE
D007360,Intelligence,DISEASE
D010551,Personality,DISEASE
D056348,Emotional Intelligence,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X2,"Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
D000066502,Grandparents,DISEASE
D001520,Behavior and Behavior Mechanisms,DISEASE
D005190,Family,DISEASE
D011593,"Psychology, Social",DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X2,"Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
D000066505,Help-Seeking Behavior,DISEASE
D001519,Behavior,DISEASE
D001520,Behavior and Behavior Mechanisms,DISEASE
D012919,Social Behavior,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X2,"Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
D000066553,Problem Behavior,DISEASE
D001519,Behavior,DISEASE
D001520,Behavior and Behavior Mechanisms,DISEASE
D001526,Behavioral Symptoms,DISEASE
D002652,Child Behavior,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X2,"Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
D000066608,Underage Drinking,DISEASE
D000294,Adolescent Behavior,DISEASE
D000428,Alcohol Drinking,DISEASE
D001519,Behavior,DISEASE
D001520,Behavior and Behavior Mechanisms,DISEASE
D004327,Drinking Behavior,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X2,"Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
D000067010,Literacy,DISEASE
D001519,Behavior,DISEASE
D001520,Behavior and Behavior Mechanisms,DISEASE
D003142,Communication,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X2,"Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
D000067011,Severe Acute Malnutrition,DISEASE
D009748,Nutrition Disorders,DISEASE
D009750,Nutritional and Metabolic Diseases,DISEASE
D044342,Malnutrition,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000067073,Psychological Trauma,DISEASE
D000068099,Trauma and Stressor Related Disorders,DISEASE
D001523,Mental Disorders,DISEASE
D040921,"Stress Disorders, Traumatic",DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000067074,Peer Influence,DISEASE
D001520,Behavior and Behavior Mechanisms,DISEASE
D006126,Group Processes,DISEASE
D010379,Peer Group,DISEASE
D011593,"Psychology, Social",DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X2,"Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
D000067208,Shellfish Hypersensitivity,DISEASE
D005512,Food Hypersensitivity,DISEASE
D006967,Hypersensitivity,DISEASE
D006969,"Hypersensitivity, Immediate",DISEASE
D007154,Immune System Diseases,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000067251,Symptom Flare Up,DISEASE
D010335,Pathologic Processes,DISEASE
D012008,Recurrence,DISEASE
D013568,"Pathological Conditions, Signs and Symptoms",DISEASE
D020969,Disease Attributes,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000067292,Alcohol Drinking in College,DISEASE
D000428,Alcohol Drinking,DISEASE
D001519,Behavior,DISEASE
D001520,Behavior and Behavior Mechanisms,DISEASE
D004327,Drinking Behavior,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X2,"Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
D000067329,"Obesity, Metabolically Benign",DISEASE
D001835,Body Weight,DISEASE
D009748,Nutrition Disorders,DISEASE
D009750,Nutritional and Metabolic Diseases,DISEASE
D009765,Obesity,DISEASE
D012816,Signs and Symptoms,DISEASE
D013568,"Pathological Conditions, Signs and Symptoms",DISEASE
D044343,Overnutrition,DISEASE
D050177,Overweight,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000067390,Cold Injury,DISEASE
D014947,Wounds and Injuries,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000067398,War-Related Injuries,DISEASE
D014947,Wounds and Injuries,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000067404,Social Communication Disorder,DISEASE
D001520,Behavior and Behavior Mechanisms,DISEASE
D001523,Mental Disorders,DISEASE
D003147,Communication Disorders,DISEASE
D009422,Nervous System Diseases,DISEASE
D009461,Neurologic Manifestations,DISEASE
D012816,Signs and Symptoms,DISEASE
D013568,"Pathological Conditions, Signs and Symptoms",DISEASE
D019954,Neurobehavioral Manifestations,DISEASE
D065886,Neurodevelopmental Disorders,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X2,"Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000067454,Childhood-Onset Fluency Disorder,DISEASE
D001520,Behavior and Behavior Mechanisms,DISEASE
D001523,Mental Disorders,DISEASE
D003147,Communication Disorders,DISEASE
D009422,Nervous System Diseases,DISEASE
D009461,Neurologic Manifestations,DISEASE
D012816,Signs and Symptoms,DISEASE
D013568,"Pathological Conditions, Signs and Symptoms",DISEASE
D019954,Neurobehavioral Manifestations,DISEASE
D065886,Neurodevelopmental Disorders,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X2,"Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000067455,No-Show Patients,DISEASE
D000074822,Treatment Adherence and Compliance,DISEASE
D001290,Attitude,DISEASE
D001294,Attitude to Health,DISEASE
D001519,Behavior,DISEASE
D001520,Behavior and Behavior Mechanisms,DISEASE
D010342,Patient Acceptance of Health Care,DISEASE
D010349,Patient Compliance,DISEASE
D015438,Health Behavior,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X2,"Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
D000067551,Diplomacy,DISEASE
D001520,Behavior and Behavior Mechanisms,DISEASE
D006126,Group Processes,DISEASE
D011593,"Psychology, Social",DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X2,"Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
D000067559,Specific Learning Disorder,DISEASE
D001520,Behavior and Behavior Mechanisms,DISEASE
D001523,Mental Disorders,DISEASE
D003147,Communication Disorders,DISEASE
D007859,Learning Disabilities,DISEASE
D009422,Nervous System Diseases,DISEASE
D009461,Neurologic Manifestations,DISEASE
D012816,Signs and Symptoms,DISEASE
D013568,"Pathological Conditions, Signs and Symptoms",DISEASE
D019954,Neurobehavioral Manifestations,DISEASE
D065886,Neurodevelopmental Disorders,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X2,"Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000067562,Late Onset Disorders,DISEASE
D010335,Pathologic Processes,DISEASE
D013568,"Pathological Conditions, Signs and Symptoms",DISEASE
D020969,Disease Attributes,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000067656,Optimism,DISEASE
D001290,Attitude,DISEASE
D001520,Behavior and Behavior Mechanisms,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X2,"Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
D000067657,Pessimism,DISEASE
D001290,Attitude,DISEASE
D001520,Behavior and Behavior Mechanisms,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X2,"Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
D000067836,Hoarding Disorder,DISEASE
D001008,Anxiety Disorders,DISEASE
D001523,Mental Disorders,DISEASE
D009771,Obsessive-Compulsive Disorder,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000067877,Autism Spectrum Disorder,DISEASE
D001523,Mental Disorders,DISEASE
D002659,"Child Development Disorders, Pervasive",DISEASE
D065886,Neurodevelopmental Disorders,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000068079,Motor Disorders,DISEASE
D001523,Mental Disorders,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000068099,Trauma and Stressor Related Disorders,DISEASE
D001523,Mental Disorders,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000068105,Bipolar and Related Disorders,DISEASE
D001523,Mental Disorders,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000068116,Gender Dysphoria,DISEASE
D001523,Mental Disorders,DISEASE
D020018,"Sexual Dysfunctions, Psychological",DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000068356,Self-Control,DISEASE
D001519,Behavior,DISEASE
D001520,Behavior and Behavior Mechanisms,DISEASE
D012919,Social Behavior,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X2,"Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
D000068376,Compassion Fatigue,DISEASE
D000073397,Occupational Stress,DISEASE
D001519,Behavior,DISEASE
D001520,Behavior and Behavior Mechanisms,DISEASE
D001526,Behavioral Symptoms,DISEASE
D005221,Fatigue,DISEASE
D005222,Mental Fatigue,DISEASE
D009784,Occupational Diseases,DISEASE
D012816,Signs and Symptoms,DISEASE
D013315,"Stress, Psychological",DISEASE
D013568,"Pathological Conditions, Signs and Symptoms",DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X2,"Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000068884,Immunosenescence,DISEASE
D007121,Immunocompetence,DISEASE
D055633,Immune System Phenomena,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000069076,"Fractures, Multiple",DISEASE
D009104,Multiple Trauma,DISEASE
D014947,Wounds and Injuries,DISEASE
D050723,"Fractures, Bone",DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000069078,Seroconversion,DISEASE
D055633,Immune System Phenomena,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000069279,Drug Resistant Epilepsy,DISEASE
D001927,Brain Diseases,DISEASE
D002493,Central Nervous System Diseases,DISEASE
D004827,Epilepsy,DISEASE
D009422,Nervous System Diseases,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000069281,Autoimmune Hypophysitis,DISEASE
D000072659,Hypophysitis,DISEASE
D001327,Autoimmune Diseases,DISEASE
D001927,Brain Diseases,DISEASE
D002493,Central Nervous System Diseases,DISEASE
D004700,Endocrine System Diseases,DISEASE
D007027,Hypothalamic Diseases,DISEASE
D007154,Immune System Diseases,DISEASE
D009422,Nervous System Diseases,DISEASE
D010900,Pituitary Diseases,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000069282,Canaliculitis,DISEASE
D003607,Dacryocystitis,DISEASE
D005128,Eye Diseases,DISEASE
D007766,Lacrimal Apparatus Diseases,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000069290,Incisional Hernia,DISEASE
D006547,Hernia,DISEASE
D010335,Pathologic Processes,DISEASE
D011183,Postoperative Complications,DISEASE
D013568,"Pathological Conditions, Signs and Symptoms",DISEASE
D020763,"Pathological Conditions, Anatomical",DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000069293,Plasmablastic Lymphoma,DISEASE
D006425,Hemic and Lymphatic Diseases,DISEASE
D007154,Immune System Diseases,DISEASE
D007160,Immunoproliferative Disorders,DISEASE
D008206,Lymphatic Diseases,DISEASE
D008223,Lymphoma,DISEASE
D008228,"Lymphoma, Non-Hodgkin",DISEASE
D008232,Lymphoproliferative Disorders,DISEASE
D009369,Neoplasms,DISEASE
D009370,Neoplasms by Histologic Type,DISEASE
D016393,"Lymphoma, B-Cell",DISEASE
D016403,"Lymphoma, Large B-Cell, Diffuse",DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000069295,Mammary Analogue Secretory Carcinoma,DISEASE
D002277,Carcinoma,DISEASE
D009369,Neoplasms,DISEASE
D009370,Neoplasms by Histologic Type,DISEASE
D009375,"Neoplasms, Glandular and Epithelial",DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000069316,Acne Conglobata,DISEASE
D000152,Acne Vulgaris,DISEASE
D012625,Sebaceous Gland Diseases,DISEASE
D012871,Skin Diseases,DISEASE
D017437,Skin and Connective Tissue Diseases,DISEASE
D017486,Acneiform Eruptions,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000013,Congenital Abnormalities,DISEASE
D000069337,Fused Kidney,DISEASE
D005261,Female Urogenital Diseases and Pregnancy Complications,DISEASE
D009358,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities",DISEASE
D014564,Urogenital Abnormalities,DISEASE
D052776,Female Urogenital Diseases,DISEASE
D052801,Male Urogenital Diseases,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000069451,Long Term Adverse Effects,DISEASE
D010335,Pathologic Processes,DISEASE
D013568,"Pathological Conditions, Signs and Symptoms",DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000069544,Infectious Encephalitis,DISEASE
D000090862,Neuroinflammatory Diseases,DISEASE
D001927,Brain Diseases,DISEASE
D002493,Central Nervous System Diseases,DISEASE
D002494,Central Nervous System Infections,DISEASE
D004660,Encephalitis,DISEASE
D007239,Infections,DISEASE
D007249,Inflammation,DISEASE
D009422,Nervous System Diseases,DISEASE
D010335,Pathologic Processes,DISEASE
D013568,"Pathological Conditions, Signs and Symptoms",DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000069578,Waterborne Diseases,DISEASE
D007239,Infections,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000069584,Unilateral Breast Neoplasms,DISEASE
D001941,Breast Diseases,DISEASE
D001943,Breast Neoplasms,DISEASE
D009369,Neoplasms,DISEASE
D009371,Neoplasms by Site,DISEASE
D012871,Skin Diseases,DISEASE
D017437,Skin and Connective Tissue Diseases,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000069836,Degloving Injuries,DISEASE
D014947,Wounds and Injuries,DISEASE
D017695,Soft Tissue Injuries,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000069856,Staghorn Calculi,DISEASE
D002137,Calculi,DISEASE
D005261,Female Urogenital Diseases and Pregnancy Complications,DISEASE
D007669,Kidney Calculi,DISEASE
D007674,Kidney Diseases,DISEASE
D013568,"Pathological Conditions, Signs and Symptoms",DISEASE
D014545,Urinary Calculi,DISEASE
D014570,Urologic Diseases,DISEASE
D020763,"Pathological Conditions, Anatomical",DISEASE
D052776,Female Urogenital Diseases,DISEASE
D052801,Male Urogenital Diseases,DISEASE
D052878,Urolithiasis,DISEASE
D053040,Nephrolithiasis,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000070263,Sleep Hygiene,DISEASE
D001519,Behavior,DISEASE
D001520,Behavior and Behavior Mechanisms,DISEASE
D015438,Health Behavior,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X2,"Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
D000070497,Healthy Lifestyle,DISEASE
D001520,Behavior and Behavior Mechanisms,DISEASE
D008019,Life Style,DISEASE
D011593,"Psychology, Social",DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X2,"Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
D000013,Congenital Abnormalities,DISEASE
D000070558,Talipes,DISEASE
D005530,Foot Deformities,DISEASE
D005531,"Foot Deformities, Acquired",DISEASE
D005532,"Foot Deformities, Congenital",DISEASE
D009139,Musculoskeletal Abnormalities,DISEASE
D009140,Musculoskeletal Diseases,DISEASE
D009358,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities",DISEASE
D017880,"Limb Deformities, Congenital",DISEASE
D038061,"Lower Extremity Deformities, Congenital",DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000013,Congenital Abnormalities,DISEASE
D000070558,Talipes,DISEASE
D000070589,Talipes Cavus,DISEASE
D005530,Foot Deformities,DISEASE
D005531,"Foot Deformities, Acquired",DISEASE
D005532,"Foot Deformities, Congenital",DISEASE
D009139,Musculoskeletal Abnormalities,DISEASE
D009140,Musculoskeletal Diseases,DISEASE
D009358,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities",DISEASE
D017880,"Limb Deformities, Congenital",DISEASE
D038061,"Lower Extremity Deformities, Congenital",DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000070591,Metatarsal Valgus,DISEASE
D005530,Foot Deformities,DISEASE
D009140,Musculoskeletal Diseases,DISEASE
X1,"Diseases, Life Phases, Behavior Mechanisms and Physiologic States",DISEASE
X3,Disease,DISEASE
D000070592,Metatarsus Varus,DISEASE
