concept_code,concept_name,class_type,concept_class_id,standard_concept
D000070779,Giant Cell Tumor of Tendon Sheath,DISEASE,SubClass,C
D000070896,Bankart Lesions,DISEASE,Leaf,C
D000071017,Hyperekplexia,DISEASE,Leaf,C
D000071056,Anorectal Malformations,DISEASE,Leaf,C
D000071057,Tardive Dyskinesia,DISEASE,Leaf,C
D000071064,"Alert Fatigue, Health Personnel",DISEASE,Leaf,C
D000071067,"Pneumonia, Necrotizing",DISEASE,Leaf,C
D000071069,Multiple Chronic Conditions,DISEASE,Leaf,C
D000071070,Familial Multiple Lipomatosis,DISEASE,Leaf,C
D000071071,Microaneurysm,DISEASE,Leaf,C
D000071072,Acute Febrile Encephalopathy,DISEASE,Leaf,C
D000071074,Neonatal Sepsis,DISEASE,Leaf,C
D000071075,Small Fiber Neuropathy,DISEASE,Leaf,C
D000071078,"Stenosis, Pulmonary Vein",DISEASE,Leaf,C
D000071079,"Stenosis, Pulmonary Artery",DISEASE,Leaf,C
D000071243,Zika Virus Infection,DISEASE,Leaf,C
D000071257,Emergence Delirium,DISEASE,Leaf,C
D000071277,"Harassment, Non-Sexual",DISEASE,SubClass,C
D000071297,Acute Retroviral Syndrome,DISEASE,Leaf,C
D000071298,Body Remains,DISEASE,Leaf,C
D000071378,Bunion,DISEASE,SubClass,C
D000071380,"Fibromatosis, Plantar",DISEASE,Leaf,C
D000071437,Axon Guidance,DISEASE,Leaf,C
D000071442,Taxis Response,DISEASE,SubClass,C
D000071444,Phototaxis,DISEASE,Leaf,C
D000071446,Neuronal Outgrowth,DISEASE,SubClass,C
D000071448,Axon Fasciculation,DISEASE,Leaf,C
D000071497,"Immunogenicity, Vaccine",DISEASE,Leaf,C
D000071562,"Fractures, Avulsion",DISEASE,Leaf,C
D000071576,Crush Injuries,DISEASE,SubClass,C
D000071697,Cellulite,DISEASE,Leaf,C
D000071698,Latent Autoimmune Diabetes in Adults,DISEASE,Leaf,C
D000071699,Bilateral Vestibulopathy,DISEASE,Leaf,C
D000071700,Cone-Rod Dystrophies,DISEASE,Leaf,C
D000071896,Medically Unexplained Symptoms,DISEASE,Leaf,C
D000071956,Myocardial Contusions,DISEASE,SubClass,C
D000071960,Breast Carcinoma In Situ,DISEASE,SubClass,C
D000072001,"Diet, Healthy",DISEASE,Leaf,C
D000072039,Fracture Dislocation,DISEASE,SubClass,C
D000072042,Salter-Harris Fractures,DISEASE,Leaf,C
D000072137,Vaping,DISEASE,Leaf,C
D000072281,Lymphadenopathy,DISEASE,SubClass,C
D000072458,"Orientation, Spatial",DISEASE,SubClass,C
D000072577,Moral Status,DISEASE,Leaf,C
D000072639,Perfectionism,DISEASE,Leaf,C
D000072656,Breast Cancer Lymphedema,DISEASE,Leaf,C
D000072657,ST Elevation Myocardial Infarction,DISEASE,Leaf,C
D000072658,Non-ST Elevated Myocardial Infarction,DISEASE,Leaf,C
D000072659,Hypophysitis,DISEASE,SubClass,C
D000072660,Teratozoospermia,DISEASE,Leaf,C
D000072661,Ciliopathies,DISEASE,SubClass,C
D000072662,Margins of Excision,DISEASE,Leaf,C
D000072663,Spontaneous Perforation,DISEASE,Leaf,C
D000072676,Ankyloglossia,DISEASE,Leaf,C
D000072716,Cancer Pain,DISEASE,Leaf,C
D000072717,Tertiary Lymphoid Structures,DISEASE,Leaf,C
D000072736,Propofol Infusion Syndrome,DISEASE,Leaf,C
D000072742,Invasive Fungal Infections,DISEASE,SubClass,C
D000072758,Vaccination Refusal,DISEASE,SubClass,C
D000072777,Host-Seeking Behavior,DISEASE,Leaf,C
D000072836,Surgical Wound,DISEASE,Leaf,C
D000072837,Chromothripsis,DISEASE,Leaf,C
D000072861,"Phobia, Social",DISEASE,Leaf,C
D000073296,Noncommunicable Diseases,DISEASE,Leaf,C
D000073376,Epileptic Syndromes,DISEASE,SubClass,C
D000073397,Occupational Stress,DISEASE,SubClass,C
D000073436,Microvascular Rarefaction,DISEASE,Leaf,C
D000073456,Multitasking Behavior,DISEASE,Leaf,C
D000073496,Frailty,DISEASE,Leaf,C
D000073599,Health Risk Behaviors,DISEASE,Leaf,C
D000073605,Spotted Fever Group Rickettsiosis,DISEASE,SubClass,C
D000073617,Transfusion-Related Acute Lung Injury,DISEASE,Leaf,C
D000073618,Varicella Zoster Virus Infection,DISEASE,SubClass,C
D000073656,Healthy Aging,DISEASE,Leaf,C
D000073818,"Pain, Procedural",DISEASE,Leaf,C
D000073839,Trisomy 13 Syndrome,DISEASE,Leaf,C
D000073842,Trisomy 18 Syndrome,DISEASE,Leaf,C
D000073847,"Smoking, Non-Tobacco Products",DISEASE,SubClass,C
D000073859,Survivorship,DISEASE,Leaf,C
D000073860,Immune Privilege,DISEASE,Leaf,C
D000073863,Cigar Smoking,DISEASE,Leaf,C
D000073865,Cigarette Smoking,DISEASE,Leaf,C
D000073867,Water Pipe Smoking,DISEASE,Leaf,C
D000073868,Pipe Smoking,DISEASE,SubClass,C
D000073869,Tobacco Smoking,DISEASE,SubClass,C
D000073872,Vascular Ring,DISEASE,Leaf,C
D000073923,Food Intolerance,DISEASE,Leaf,C
D000073932,Food Addiction,DISEASE,Leaf,C
D000073935,Narrative Medicine,DISEASE,Leaf,C
D000074009,Tubular Sweat Gland Adenomas,DISEASE,Leaf,C
D000074021,Interatrial Block,DISEASE,Leaf,C
D000074042,Cerebral Intraventricular Hemorrhage,DISEASE,Leaf,C
D000074043,Night Eating Syndrome,DISEASE,Leaf,C
D000074079,Undifferentiated Connective Tissue Diseases,DISEASE,Leaf,C
D000074101,Cocaine Smoking,DISEASE,Leaf,C
D000074243,Immune Reconstitution,DISEASE,Leaf,C
D000074264,Smoking Reduction,DISEASE,Leaf,C
D000074270,Meconium Ileus,DISEASE,Leaf,C
D000074607,Opium Dependence,DISEASE,Leaf,C
D000074609,Marijuana Use,DISEASE,SubClass,C
D000074723,Oncogene Addiction,DISEASE,Leaf,C
D000074742,Median Arcuate Ligament Syndrome,DISEASE,Leaf,C
D000074822,Treatment Adherence and Compliance,DISEASE,SubClass,C
D000074924,Nut and Peanut Hypersensitivity,DISEASE,SubClass,C
D000074962,Kounis Syndrome,DISEASE,Leaf,C
D000075067,"Substance Abuse, Oral",DISEASE,Leaf,C
D000075122,Smoldering Multiple Myeloma,DISEASE,Leaf,C
D000075222,Essential Hypertension,DISEASE,Leaf,C
D000075224,Cardiac Conduction System Disease,DISEASE,SubClass,C
D000075262,"Hypoadrenocorticism, Familial",DISEASE,Leaf,C
D000075282,Incivility,DISEASE,Leaf,C
D000075322,Heavy Metal Poisoning,DISEASE,SubClass,C
D000075363,Immunoglobulin Light-chain Amyloidosis,DISEASE,Leaf,C
D000075384,Neuroticism,DISEASE,Leaf,C
D000075529,Solitary Kidney,DISEASE,Leaf,C
D000075562,Charles Bonnet Syndrome,DISEASE,Leaf,C
D000075662,Injection Site Reaction,DISEASE,Leaf,C
D000075665,Recidivism,DISEASE,Leaf,C
D000075682,Procrastination,DISEASE,Leaf,C
D000075782,Cell Phone Use,DISEASE,Leaf,C
D000075902,Clinical Deterioration,DISEASE,Leaf,C
D000076042,Alcoholic Korsakoff Syndrome,DISEASE,Leaf,C
D000076082,Travel-Related Illness,DISEASE,SubClass,C
D000076263,"Communicable Diseases, Imported",DISEASE,Leaf,C
D000076385,Diverticular Diseases,DISEASE,SubClass,C
D000076605,Disenfranchised Grief,DISEASE,Leaf,C
D000076984,Neonatal Brachial Plexus Palsy,DISEASE,Leaf,C
D000077062,"Burnout, Psychological",DISEASE,SubClass,C
D000077085,Birth Setting,DISEASE,SubClass,C
D000077162,Neurolymphomatosis,DISEASE,Leaf,C
D000077192,Adenocarcinoma of Lung,DISEASE,SubClass,C
D000077195,Squamous Cell Carcinoma of Head and Neck,DISEASE,Leaf,C
D000077207,"Chondrosarcoma, Clear Cell",DISEASE,Leaf,C
D000077216,"Carcinoma, Ovarian Epithelial",DISEASE,Leaf,C
D000077224,Cyberbullying,DISEASE,Leaf,C
D000077260,Sleepiness,DISEASE,Leaf,C
D000077273,"Thyroid Cancer, Papillary",DISEASE,Leaf,C
D000077274,Nasopharyngeal Carcinoma,DISEASE,Leaf,C
D000077275,Craniofacial Fibrous Dysplasia,DISEASE,Leaf,C
D000077277,Esophageal Squamous Cell Carcinoma,DISEASE,Leaf,C
D000077295,"Urinary Bladder, Underactive",DISEASE,Leaf,C
D000077299,Healthcare-Associated Pneumonia,DISEASE,SubClass,C
D000077315,Road Rage,DISEASE,Leaf,C
D000077342,Post-Lyme Disease Syndrome,DISEASE,Leaf,C
D000077428,GATA2 Deficiency,DISEASE,Leaf,C
D000077642,Family Separation,DISEASE,Leaf,C
D000077684,Cauda Equina Syndrome,DISEASE,Leaf,C
D000077733,Immunoglobulin G4-Related Disease,DISEASE,Leaf,C
D000077765,Cone Dystrophy,DISEASE,SubClass,C
D000077777,Myopericytoma,DISEASE,Leaf,C
D000077779,Pancreatic Intraductal Neoplasms,DISEASE,Leaf,C
D000077962,Body-Weight Trajectory,DISEASE,Leaf,C
D000078002,"Posttraumatic Growth, Psychological",DISEASE,Leaf,C
D000078064,Gestational Weight Gain,DISEASE,Leaf,C
D000078382,Disgust,DISEASE,Leaf,C
D000078385,Embarrassment,DISEASE,Leaf,C
D000078462,Therapeutic Alliance,DISEASE,Leaf,C
D000078602,Sadness,DISEASE,Leaf,C
D000078663,Egocentrism,DISEASE,Leaf,C
D000078682,Respect,DISEASE,Leaf,C
D000079102,Empowerment,DISEASE,Leaf,C
D000079103,Scope of Practice,DISEASE,Leaf,C
D000079182,Body Dissatisfaction,DISEASE,Leaf,C
D000079224,Demoralization,DISEASE,Leaf,C
D000079225,Psychological Distress,DISEASE,SubClass,C
D000079262,"Obesity, Maternal",DISEASE,Leaf,C
D000079263,Vaccine-Preventable Diseases,DISEASE,Leaf,C
D000079322,Weight Prejudice,DISEASE,Leaf,C
D000079426,Vector Borne Diseases,DISEASE,SubClass,C
D000079524,Narcotic-Related Disorders,DISEASE,SubClass,C
D000079562,Rumination Syndrome,DISEASE,Leaf,C
D000079564,Globus Sensation,DISEASE,Leaf,C
D000079689,Opioid-Induced Constipation,DISEASE,Leaf,C
D000079690,Postoperative Cognitive Complications,DISEASE,Leaf,C
D000079822,Extranodal Extension,DISEASE,Leaf,C
D000080037,Historical Trauma,DISEASE,Leaf,C
D000080038,Anomalous Left Coronary Artery,DISEASE,Leaf,C
D000080039,Univentricular Heart,DISEASE,Leaf,C
D000080041,Congenitally Corrected Transposition of the Great Arteries,DISEASE,Leaf,C
D000080103,Emotional Regulation,DISEASE,Leaf,C
D000080146,Avoidant Restrictive Food Intake Disorder,DISEASE,Leaf,C
D000080203,Hamman-Rich Syndrome,DISEASE,Leaf,C
D000080222,Pancreaticobiliary Maljunction,DISEASE,Leaf,C
D000080223,Chronic Urticaria,DISEASE,Leaf,C
D000080311,Synesthesia,DISEASE,Leaf,C
D000080322,Cyclodialysis Clefts,DISEASE,Leaf,C
D000080323,Uveal Effusion Syndrome,DISEASE,Leaf,C
D000080324,Choroidal Effusions,DISEASE,SubClass,C
D000080343,Meibomian Gland Dysfunction,DISEASE,Leaf,C
D000080344,Optic Nerve Hypoplasia,DISEASE,SubClass,C
D000080345,Familial Exudative Vitreoretinopathies,DISEASE,Leaf,C
D000080346,Retinal Arterial Macroaneurysm,DISEASE,Leaf,C
D000080362,Stargardt Disease,DISEASE,Leaf,C
D000080363,White Dot Syndromes,DISEASE,SubClass,C
D000080364,Multifocal Choroiditis,DISEASE,Leaf,C
D000080365,Birdshot Chorioretinopathy,DISEASE,Leaf,C
D000080422,Locked-In Syndrome,DISEASE,Leaf,C
D000080424,Cytokine Release Syndrome,DISEASE,Leaf,C
D000080442,Social Integration,DISEASE,SubClass,C
D000080443,Diffuse Intrinsic Pontine Glioma,DISEASE,Leaf,C
D000080445,Asthma-Chronic Obstructive Pulmonary Disease Overlap Syndrome,DISEASE,Leaf,C
D000080485,Sudden Unexpected Death in Epilepsy,DISEASE,Leaf,C
D000080530,"Twinning, Embryonic",DISEASE,SubClass,C
D000080534,"Twinning, Dizygotic",DISEASE,Leaf,C
D000080822,Relative Energy Deficiency in Sport,DISEASE,SubClass,C
D000080842,Undiagnosed Diseases,DISEASE,Leaf,C
D000080874,Synucleinopathies,DISEASE,SubClass,C
D000080883,Shoulder Dystocia,DISEASE,Leaf,C
D000080887,Diabulimia,DISEASE,Leaf,C
D000080888,Specific Language Disorder,DISEASE,Leaf,C
D000080902,Mandibular Nerve Injuries,DISEASE,Leaf,C
D000080942,Post-Cardiac Arrest Syndrome,DISEASE,Leaf,C
D000080983,Bone Marrow Failure Disorders,DISEASE,SubClass,C
D000080984,Congenital Bone Marrow Failure Syndromes,DISEASE,SubClass,C
D000081003,Shwachman-Diamond Syndrome,DISEASE,Leaf,C
D000081010,Food Fussiness,DISEASE,Leaf,C
D000081011,Hepatic Infarction,DISEASE,Leaf,C
D000081012,Autoimmune Pancreatitis,DISEASE,Leaf,C
D000081013,"Suicide, Completed",DISEASE,Leaf,C
D000081015,Ototoxicity,DISEASE,Leaf,C
D000081028,Toxic Optic Neuropathy,DISEASE,Leaf,C
D000081029,Pulmonary Arterial Hypertension,DISEASE,Leaf,C
D000081030,Myotoxicity,DISEASE,Leaf,C
D000081032,"Pancreatitis, Acute Hemorrhagic",DISEASE,Leaf,C
D000081042,Body Integrity Identity Disorder,DISEASE,Leaf,C
D000081084,Accidental Injuries,DISEASE,Leaf,C
D000081207,Primary Immunodeficiency Diseases,DISEASE,SubClass,C
D000081208,Hereditary Complement Deficiency Diseases,DISEASE,SubClass,C
D000081483,Squamous Intraepithelial Lesions,DISEASE,SubClass,C
D000081722,Betrayal,DISEASE,Leaf,C
D000081723,Dentist's Role,DISEASE,Leaf,C
D000081762,Human-Animal Interaction,DISEASE,SubClass,C
D000082002,Sexual Trauma,DISEASE,Leaf,C
D000082122,Internal Hernia,DISEASE,SubClass,C
D000082123,Paraduodenal Hernia,DISEASE,Leaf,C
D000082242,Kimura Disease,DISEASE,Leaf,C
D000082262,Compulsive Exercise,DISEASE,Leaf,C
D000082424,Internet Addiction Disorder,DISEASE,Leaf,C
D000082602,Developmental Dysplasia of the Hip,DISEASE,SubClass,C
D000082643,Cerebral Cortical Thinning,DISEASE,Leaf,C
D000082802,"Warburg Effect, Oncologic",DISEASE,Leaf,C
D000082843,Ovarian Torsion,DISEASE,Leaf,C
D000082862,Aortic Valve Disease,DISEASE,SubClass,C
D000082882,Bicuspid Aortic Valve Disease,DISEASE,Leaf,C
D000082902,Quadricuspid Aortic Valve,DISEASE,Leaf,C
D000082903,Aortico-Ventricular Tunnel,DISEASE,Leaf,C
D000083023,Colitis-Associated Neoplasms,DISEASE,Leaf,C
D000083082,Popliteal Artery Entrapment Syndrome,DISEASE,Leaf,C
D000083083,Laminopathies,DISEASE,SubClass,C
D000083102,Reinjuries,DISEASE,Leaf,C
D000083143,X-Linked Emery-Dreifuss Muscular Dystrophy,DISEASE,Leaf,C
D000083144,Autosomal Emery-Dreifuss Muscular Dystrophy,DISEASE,Leaf,C
D000083182,Chronic Exertional Compartment Syndrome,DISEASE,Leaf,C
D000083242,Ischemic Stroke,DISEASE,SubClass,C
D000083244,Thrombotic Stroke,DISEASE,SubClass,C
D000083262,Embolic Stroke,DISEASE,Leaf,C
D000083302,Hemorrhagic Stroke,DISEASE,Leaf,C
D000083402,Persistent Left Superior Vena Cava,DISEASE,Leaf,C
D000083505,Social Interaction,DISEASE,Leaf,C
D000083563,Test Anxiety,DISEASE,Leaf,C
D000083623,Psychosocial Functioning,DISEASE,Leaf,C
D000083642,Social Comparison,DISEASE,Leaf,C
D000083644,Social Inclusion,DISEASE,Leaf,C
D000083645,Social Evolution,DISEASE,Leaf,C
D000083682,Opiate Overdose,DISEASE,Leaf,C
D000083703,Social Defeat,DISEASE,Leaf,C
D000084002,Tinea cruris,DISEASE,Leaf,C
D000084063,Reinfection,DISEASE,Leaf,C
D000084122,Cardiac Papillary Fibroelastoma,DISEASE,Leaf,C
D000084202,Chemotherapy-Related Cognitive Impairment,DISEASE,Leaf,C
D000084322,Semicircular Canal Dehiscence,DISEASE,Leaf,C
D000084462,Hyperthermia,DISEASE,Leaf,C
D000084783,Recreational Drug Use,DISEASE,Leaf,C
D000084802,Caregiver Burden,DISEASE,Leaf,C
D000084803,Gender Equity,DISEASE,Leaf,C
D000085142,Severe Fever with Thrombocytopenia Syndrome,DISEASE,Leaf,C
D000085343,Latent Infection,DISEASE,SubClass,C
D000085402,Gender Role,DISEASE,Leaf,C
D000085583,Hyperferritinemia,DISEASE,Leaf,C
D000086002,"Mesothelioma, Malignant",DISEASE,Leaf,C
D000086382,COVID-19,DISEASE,Leaf,C
D000086522,Financial Stress,DISEASE,Leaf,C
D000086582,Anosmia,DISEASE,Leaf,C
D000086722,Rhinorrhea,DISEASE,SubClass,C
D000086965,Viral Zoonoses,DISEASE,Leaf,C
D000086966,Bacterial Zoonoses,DISEASE,Leaf,C
D000086982,Blood-Borne Infections,DISEASE,SubClass,C
D000087122,Mania,DISEASE,Leaf,C
D000087302,"Bias, Implicit",DISEASE,Leaf,C
D000087342,Self-Compassion,DISEASE,Leaf,C
D000087346,Sluggish Cognitive Tempo,DISEASE,Leaf,C
D000087366,Information Avoidance,DISEASE,Leaf,C
D000087505,Diaschisis,DISEASE,Leaf,C
D000087523,Endotoxin Tolerance,DISEASE,Leaf,C
D000087525,Radiation Fibrosis Syndrome,DISEASE,Leaf,C
D000087662,Centenarians,DISEASE,Leaf,C
D000087742,Octogenarians,DISEASE,Leaf,C
D000087862,Disinformation,DISEASE,Leaf,C
D000088102,Orthorexia Nervosa,DISEASE,Leaf,C
D000088282,Corticobasal Degeneration,DISEASE,Leaf,C
D000088323,Vascular Depression,DISEASE,Leaf,C
D000088362,Opsonization,DISEASE,Leaf,C
D000088383,Trogocytosis,DISEASE,Leaf,C
D000088442,MINOCA,DISEASE,Leaf,C
D000088562,Persistent Infection,DISEASE,Leaf,C
D000088603,Antigenic Drift and Shift,DISEASE,Leaf,C
D000088642,Nonagenarians,DISEASE,Leaf,C
D000088823,Vaccination Hesitancy,DISEASE,Leaf,C
D000088828,Microaggression,DISEASE,Leaf,C
D000088942,Technology Addiction,DISEASE,SubClass,C
D000089083,Body Odor,DISEASE,Leaf,C
D000089122,Adolescent Fathers,DISEASE,Leaf,C
D000089183,Axial Spondyloarthritis,DISEASE,SubClass,C
D000089202,Non-Radiographic Axial Spondyloarthritis,DISEASE,Leaf,C
D000089802,Chronic Limb-Threatening Ischemia,DISEASE,Leaf,C
D000089822,Birth Cohort,DISEASE,Leaf,C
D000089965,Erythema Ab Igne,DISEASE,Leaf,C
D000090004,Ambulatory Care Sensitive Conditions,DISEASE,Leaf,C
D000090122,Livedoid Vasculopathy,DISEASE,Leaf,C
D000090124,Intestinal Failure,DISEASE,Leaf,C
D000090267,Mast Cell Activation Syndrome,DISEASE,Leaf,C
D000090303,Focal Facial Dermal Dysplasias,DISEASE,Leaf,C
D000090362,Mast Cell Activation Disorders,DISEASE,SubClass,C
D000090382,Prolonged Grief Disorder,DISEASE,Leaf,C
D000090463,Iron Deficiencies,DISEASE,SubClass,C
D000090522,Mass Gatherings,DISEASE,Leaf,C
D000090542,Homozygous Familial Hypercholesterolemia,DISEASE,Leaf,C
D000090663,"Schizophrenia, Treatment-Resistant",DISEASE,Leaf,C
D000090862,Neuroinflammatory Diseases,DISEASE,SubClass,C
D000090882,Thromboinflammation,DISEASE,Leaf,C
D000091323,Psychogenic Nonepileptic Seizures,DISEASE,Leaf,C
D000091488,Ostracism,DISEASE,Leaf,C
D000091563,Perceived Discrimination,DISEASE,Leaf,C
D000091622,Weight Cycling,DISEASE,Leaf,C
D000091702,Intersectional Framework,DISEASE,Leaf,C
D000091722,Systemic Racism,DISEASE,Leaf,C
D000091782,Social Cohesion,DISEASE,Leaf,C
D000124,Achievement,DISEASE,Leaf,C
D000126,Achlorhydria,DISEASE,Leaf,C
D000130,Achondroplasia,DISEASE,SubClass,C
D000137,Acid-Base Imbalance,DISEASE,SubClass,C
D000138,Acidosis,DISEASE,SubClass,C
D000140,"Acidosis, Lactic",DISEASE,Leaf,C
D000141,"Acidosis, Renal Tubular",DISEASE,Leaf,C
D000142,"Acidosis, Respiratory",DISEASE,Leaf,C
D000151,Acinetobacter Infections,DISEASE,Leaf,C
D000152,Acne Vulgaris,DISEASE,SubClass,C
D000153,Acne Keloid,DISEASE,Leaf,C
D000160,Vestibulocochlear Nerve Diseases,DISEASE,SubClass,C
D000163,Acquired Immunodeficiency Syndrome,DISEASE,Leaf,C
D000168,Acrocephalosyndactylia,DISEASE,Leaf,C
D000169,Acrodermatitis,DISEASE,Leaf,C
D000170,Acrodynia,DISEASE,Leaf,C
D000172,Acromegaly,DISEASE,Leaf,C
D000182,"ACTH Syndrome, Ectopic",DISEASE,Leaf,C
D000184,Acting Out,DISEASE,Leaf,C
D000187,Actinobacillosis,DISEASE,Leaf,C
D000189,Actinobacillus Infections,DISEASE,SubClass,C
D000193,Actinomycetales Infections,DISEASE,SubClass,C
D000196,Actinomycosis,DISEASE,SubClass,C
D000197,"Actinomycosis, Cervicofacial",DISEASE,Leaf,C
D000208,Acute Disease,DISEASE,Leaf,C
D000210,Acute-Phase Reaction,DISEASE,Leaf,C
D000219,Adams-Stokes Syndrome,DISEASE,Leaf,C
D000223,"Adaptation, Psychological",DISEASE,SubClass,C
D000224,Addison Disease,DISEASE,SubClass,C
D000230,Adenocarcinoma,DISEASE,SubClass,C
D000231,"Adenocarcinoma, Papillary",DISEASE,SubClass,C
D000232,Adenofibroma,DISEASE,SubClass,C
D000235,Adenolymphoma,DISEASE,Leaf,C
D000236,Adenoma,DISEASE,SubClass,C
D000237,"Adenoma, Basophil",DISEASE,Leaf,C
D000238,"Adenoma, Chromophobe",DISEASE,Leaf,C
D000239,"Adenoma, Acidophil",DISEASE,Leaf,C
D000257,Adenoviridae Infections,DISEASE,SubClass,C
D000258,"Adenovirus Infections, Human",DISEASE,Leaf,C
D000267,Tissue Adhesions,DISEASE,Leaf,C
D000270,Adie Syndrome,DISEASE,Leaf,C
D000274,Adiposis Dolorosa,DISEASE,Leaf,C
D000275,Adjustment Disorders,DISEASE,Leaf,C
D000291,Adnexal Diseases,DISEASE,SubClass,C
