rxcui,name,tty,SourceId,SourceName,Relation,SourceUrl,classId
4495,flupenthixol,IN,96220002,Flupentixol-containing product,INDIRECT,http://snomed.info/id/96220002,1002243003
49276,doxazosin,IN,108556006,Doxazosin-containing product,INDIRECT,http://snomed.info/id/108556006,1002243003
49737,esmolol,IN,77856005,Esmolol-containing product,INDIRECT,http://snomed.info/id/77856005,1002243003
5784,indoramin,IN,349913001,Indoramin-containing product,INDIRECT,http://snomed.info/id/349913001,1002243003
6185,labetalol,IN,46547007,Labetalol-containing product,INDIRECT,http://snomed.info/id/46547007,1002243003
62174,deserpidine,IN,26503009,Deserpidine-containing product,INDIRECT,http://snomed.info/id/26503009,1002243003
6918,metoprolol,IN,7092007,Metoprolol-containing product,INDIRECT,http://snomed.info/id/7092007,1002243003
6929,mianserin,IN,96200003,Mianserin-containing product,INDIRECT,http://snomed.info/id/96200003,1002243003
720825,silodosin,IN,441605002,Silodosin-containing product,INDIRECT,http://snomed.info/id/441605002,1002243003
7226,nadolol,IN,82896009,Nadolol-containing product,INDIRECT,http://snomed.info/id/82896009,1002243003
77492,tamsulosin,IN,108559004,Tamsulosin-containing product,INDIRECT,http://snomed.info/id/108559004,1002243003
7801,oxprenolol,IN,96299009,Oxprenolol-containing product,INDIRECT,http://snomed.info/id/96299009,1002243003
7973,penbutolol,IN,108542009,Penbutolol-containing product,INDIRECT,http://snomed.info/id/108542009,1002243003
8149,phenoxybenzamine,IN,74771007,Phenoxybenzamine-containing product,INDIRECT,http://snomed.info/id/74771007,1002243003
8153,phentolamine,IN,82165003,Phentolamine-containing product,INDIRECT,http://snomed.info/id/82165003,1002243003
8332,pindolol,IN,18381001,Pindolol-containing product,INDIRECT,http://snomed.info/id/18381001,1002243003
8620,practolol,IN,76390000,Practolol-containing product,INDIRECT,http://snomed.info/id/76390000,1002243003
8629,prazosin,IN,76058001,Prazosin-containing product,INDIRECT,http://snomed.info/id/76058001,1002243003
8787,propranolol,IN,55745002,Propranolol-containing product,INDIRECT,http://snomed.info/id/55745002,1002243003
9947,sotalol,IN,96301002,Sotalol-containing product,INDIRECT,http://snomed.info/id/96301002,1002243003
9068,quinidine,IN,31306009,Quinidine-containing product,DIRECT,http://snomed.info/id/31306009,10135005
9071,quinine,IN,47065008,Quinine-containing product,DIRECT,http://snomed.info/id/47065008,10135005
26225,ondansetron,IN,108418007,Ondansetron-containing product,DIRECT,http://snomed.info/id/108418007,108417002
26237,granisetron,IN,108424001,Granisetron-containing product,DIRECT,http://snomed.info/id/108424001,108417002
27392,tropisetron,IN,322201005,Tropisetron-containing product,DIRECT,http://snomed.info/id/322201005,108417002
68091,dolasetron,IN,108421009,Dolasetron-containing product,DIRECT,http://snomed.info/id/108421009,108417002
70561,palonosetron,IN,404851001,Palonosetron-containing product,DIRECT,http://snomed.info/id/404851001,108417002
85248,alosetron,IN,409148009,Alosetron-containing product,DIRECT,http://snomed.info/id/409148009,108417002
114970,zafirlukast,IN,108614003,Zafirlukast-containing product,DIRECT,http://snomed.info/id/108614003,108616001
88249,montelukast,IN,320883008,Montelukast-containing product,DIRECT,http://snomed.info/id/320883008,108616001
18603,azelastine,IN,108644000,Azelastine-containing product,DIRECT,http://snomed.info/id/108644000,108643006
2541,cimetidine,IN,83532008,Cimetidine-containing product,DIRECT,http://snomed.info/id/83532008,108661002
42319,nizatidine,IN,108664005,Nizatidine-containing product,DIRECT,http://snomed.info/id/108664005,108661002
4278,famotidine,IN,39128000,Famotidine-containing product,DIRECT,http://snomed.info/id/39128000,108661002
9143,ranitidine,IN,48174005,Ranitidine-containing product,DIRECT,http://snomed.info/id/48174005,108661002
114979,rabeprazole,IN,421279008,Rabeprazole-containing product,DIRECT,http://snomed.info/id/421279008,108665006
17128,lansoprazole,IN,108666007,Lansoprazole-containing product,DIRECT,http://snomed.info/id/108666007,108665006
283742,esomeprazole,IN,317331009,Esomeprazole-containing product,DIRECT,http://snomed.info/id/317331009,108665006
40790,pantoprazole,IN,317317009,Pantoprazole-containing product,DIRECT,http://snomed.info/id/317317009,108665006
7646,omeprazole,IN,25673006,Omeprazole-containing product,DIRECT,http://snomed.info/id/25673006,108665006
816346,dexlansoprazole,IN,442540007,Dexlansoprazole-containing product,DIRECT,http://snomed.info/id/442540007,108665006
1102270,rilpivirine,IN,703777002,Rilpivirine-containing product,DIRECT,http://snomed.info/id/703777002,108709006
11413,zidovudine,IN,27479000,Zidovudine-containing product,DIRECT,http://snomed.info/id/27479000,108709006
117466,tenofovir,IN,395264002,Tenofovir-containing product,DIRECT,http://snomed.info/id/395264002,108709006
16521,adefovir,IN,412073001,Adefovir-containing product,DIRECT,http://snomed.info/id/412073001,108709006
195085,efavirenz,IN,116078005,Efavirenz-containing product,DIRECT,http://snomed.info/id/116078005,108709006
276237,emtricitabine,IN,404855005,Emtricitabine-containing product,DIRECT,http://snomed.info/id/404855005,108709006
3363,zalcitabine,IN,34693000,Zalcitabine-containing product,DIRECT,http://snomed.info/id/34693000,108709006
3364,didanosine,IN,19194001,Didanosine-containing product,DIRECT,http://snomed.info/id/19194001,108709006
475969,etravirine,IN,432221004,Etravirine-containing product,DIRECT,http://snomed.info/id/432221004,108709006
53654,nevirapine,IN,108704001,Nevirapine-containing product,DIRECT,http://snomed.info/id/108704001,108709006
59763,stavudine,IN,108690008,Stavudine-containing product,DIRECT,http://snomed.info/id/108690008,108709006
68244,lamivudine,IN,108698001,Lamivudine-containing product,DIRECT,http://snomed.info/id/108698001,108709006
83816,delavirdine,IN,386155009,Delavirdine-containing product,DIRECT,http://snomed.info/id/386155009,108709006
15070,formestane,IN,327363004,Formestane-containing product,DIRECT,http://snomed.info/id/327363004,108775004
258494,exemestane,IN,116115004,Exemestane-containing product,DIRECT,http://snomed.info/id/116115004,108775004
677,aminoglutethimide,IN,47124006,Aminoglutethimide-containing product,DIRECT,http://snomed.info/id/47124006,108775004
72965,letrozole,IN,108777007,Letrozole-containing product,DIRECT,http://snomed.info/id/108777007,108775004
84857,anastrozole,IN,108774000,Anastrozole-containing product,DIRECT,http://snomed.info/id/108774000,108775004
2360232,sacituzumab govitecan,PIN,871812009,Sacituzumab govitecan-containing product,DIRECT,http://snomed.info/id/871812009,108780008
51499,irinotecan,IN,108783005,Irinotecan-containing product,DIRECT,http://snomed.info/id/108783005,108780008
57308,topotecan,IN,108779005,Topotecan-containing product,DIRECT,http://snomed.info/id/108779005,108780008
10362,teniposide,IN,7959004,Teniposide-containing product,DIRECT,http://snomed.info/id/7959004,108793003
1045453,eribulin,IN,767582004,Eribulin-containing product,INDIRECT,http://snomed.info/id/767582004,108793003
1147320,brentuximab vedotin,IN,714671006,Brentuximab vedotin-containing product,INDIRECT,http://snomed.info/id/714671006,108793003
2174090,polatuzumab vedotin,IN,788329003,Polatuzumab vedotin-containing product,INDIRECT,http://snomed.info/id/788329003,108793003
2277607,enfortumab vedotin,PIN,836465002,Enfortumab vedotin-containing product,INDIRECT,http://snomed.info/id/836465002,108793003
291204,tacalcitol,IN,332214000,Tacalcitol-containing product,DIRECT,http://snomed.info/id/332214000,108793003
337523,ixabepilone,IN,429022006,Ixabepilone-containing product,INDIRECT,http://snomed.info/id/429022006,108793003
39541,vinorelbine,IN,108792008,Vinorelbine-containing product,DIRECT,http://snomed.info/id/108792008,108793003
4179,etoposide,IN,56928005,Etoposide-containing product,DIRECT,http://snomed.info/id/56928005,108793003
5021,griseofulvin,IN,64349004,Griseofulvin-containing product,INDIRECT,http://snomed.info/id/64349004,108793003
56946,paclitaxel,IN,67735003,Paclitaxel-containing product,INDIRECT,http://snomed.info/id/67735003,108793003
72962,docetaxel,IN,108806006,Docetaxel-containing product,INDIRECT,http://snomed.info/id/108806006,108793003
996051,cabazitaxel,IN,447182009,Cabazitaxel-containing product,INDIRECT,http://snomed.info/id/447182009,108793003
134615,brimonidine,IN,108827001,Brimonidine-containing product,DIRECT,http://snomed.info/id/108827001,108828006
14845,apraclonidine,IN,330870004,Apraclonidine-containing product,DIRECT,http://snomed.info/id/330870004,108828006
2599,clonidine,IN,62782004,Clonidine-containing product,INDIRECT,http://snomed.info/id/62782004,108828006
28863,lofexidine,IN,349934008,Lofexidine-containing product,INDIRECT,http://snomed.info/id/349934008,108828006
40114,guanfacine,IN,108553003,Guanfacine-containing product,INDIRECT,http://snomed.info/id/108553003,108828006
48937,dexmedetomidine,IN,438079000,Dexmedetomidine-containing product,DIRECT,http://snomed.info/id/438079000,108828006
5033,guanabenz,IN,82951001,Guanabenz-containing product,INDIRECT,http://snomed.info/id/82951001,108828006
6876,methyldopa,IN,84078002,Methyldopa-containing product,INDIRECT,http://snomed.info/id/84078002,108828006
19551,pemirolast,IN,417669009,Pemirolast-containing product,DIRECT,http://snomed.info/id/417669009,108860003
31563,nedocromil,IN,108627004,Nedocromil-containing product,DIRECT,http://snomed.info/id/108627004,108860003
42612,cromolyn,IN,21701005,Cromolyn-containing product,DIRECT,http://snomed.info/id/21701005,108860003
46307,amlexanox,IN,413507000,Amlexanox-containing product,DIRECT,http://snomed.info/id/413507000,108860003
52151,lodoxamide,IN,108859008,Lodoxamide-containing product,DIRECT,http://snomed.info/id/108859008,108860003
1012892,fingolimod,IN,715640009,Fingolimod-containing product,DIRECT,http://snomed.info/id/715640009,108940007
103,mercaptopurine,IN,1039008,Mercaptopurine-containing product,INDIRECT,http://snomed.info/id/1039008,108940007
10362,teniposide,IN,7959004,Teniposide-containing product,INDIRECT,http://snomed.info/id/7959004,108940007
10432,thalidomide,IN,404878004,Thalidomide-containing product,DIRECT,http://snomed.info/id/404878004,108940007
1045453,eribulin,IN,767582004,Eribulin-containing product,INDIRECT,http://snomed.info/id/767582004,108940007
10473,thiotepa,IN,88997008,Thiotepa-containing product,INDIRECT,http://snomed.info/id/88997008,108940007
10485,thioguanine,IN,72623000,Thioguanine-containing product,INDIRECT,http://snomed.info/id/72623000,108940007
1092437,belimumab,IN,704193005,Belimumab-containing product,DIRECT,http://snomed.info/id/704193005,108940007
1094833,ipilimumab,IN,704649006,Ipilimumab-containing product,DIRECT,http://snomed.info/id/704649006,108940007
10995,uracil,IN,420822000,Uracil-containing product,INDIRECT,http://snomed.info/id/420822000,108940007
1112973,belatacept,IN,714777004,Belatacept-containing product,DIRECT,http://snomed.info/id/714777004,108940007
1147320,brentuximab vedotin,IN,714671006,Brentuximab vedotin-containing product,INDIRECT,http://snomed.info/id/714671006,108940007
115238,becaplermin,IN,108936003,Becaplermin-containing product,INDIRECT,http://snomed.info/id/108936003,108940007
117055,alemtuzumab,IN,391632007,Alemtuzumab-containing product,DIRECT,http://snomed.info/id/391632007,108940007
121191,rituximab,IN,108809004,Rituximab-containing product,DIRECT,http://snomed.info/id/108809004,108940007
1227,auranofin,IN,18002004,Auranofin-containing product,DIRECT,http://snomed.info/id/18002004,108940007
1251,azacitidine,IN,412329008,Azacitidine-containing product,INDIRECT,http://snomed.info/id/412329008,108940007
1256,azathioprine,IN,111165009,Azathioprine-containing product,INDIRECT,http://snomed.info/id/111165009,108940007
12574,gemcitabine,IN,108811008,Gemcitabine-containing product,INDIRECT,http://snomed.info/id/108811008,108940007
1294580,gemtuzumab ozogamicin,IN,386640004,Gemtuzumab ozogamicin-containing product,DIRECT,http://snomed.info/id/386640004,108940007
1302966,carfilzomib,IN,714783001,Carfilzomib-containing product,INDIRECT,http://snomed.info/id/714783001,108940007
1310520,teriflunomide,IN,703786007,Teriflunomide-containing product,DIRECT,http://snomed.info/id/703786007,108940007
1311380,interleukin-11,IN,108969003,Interleukin-11-containing product,INDIRECT,http://snomed.info/id/108969003,108940007
134547,bendamustine,IN,427812009,Bendamustine-containing product,INDIRECT,http://snomed.info/id/427812009,108940007
1357536,tofacitinib,IN,704316006,Tofacitinib-containing product,DIRECT,http://snomed.info/id/704316006,108940007
1369713,pomalidomide,IN,703790009,Pomalidomide-containing product,DIRECT,http://snomed.info/id/703790009,108940007
1371041,ado-trastuzumab emtansine,PIN,896752005,Trastuzumab emtansine-containing product,DIRECT,http://snomed.info/id/896752005,108940007
1373478,dimethyl fumarate,IN,764365009,Dimethyl fumarate-containing product,DIRECT,http://snomed.info/id/764365009,108940007
141704,everolimus,IN,428127005,Everolimus-containing product,DIRECT,http://snomed.info/id/428127005,108940007
1492727,apremilast,IN,714684002,Apremilast-containing product,DIRECT,http://snomed.info/id/714684002,108940007
1514,betamethasone,IN,29896003,Betamethasone-containing product,DIRECT,http://snomed.info/id/29896003,108940007
1538097,vedolizumab,IN,704257002,Vedolizumab-containing product,INDIRECT,http://snomed.info/id/704257002,108940007
1546433,monomethyl fumarate,IN,1010563006,Monomethyl fumarate-containing product,DIRECT,http://snomed.info/id/1010563006,108940007
1547545,pembrolizumab,IN,763541003,Pembrolizumab-containing product,INDIRECT,http://snomed.info/id/763541003,108940007
15657,decitabine,IN,420517007,Decitabine-containing product,INDIRECT,http://snomed.info/id/420517007,108940007
1597876,nivolumab,IN,704192000,Nivolumab-containing product,INDIRECT,http://snomed.info/id/704192000,108940007
1599788,secukinumab,IN,714689007,Secukinumab-containing product,DIRECT,http://snomed.info/id/714689007,108940007
1720597,mepolizumab,IN,781308003,Mepolizumab-containing product,INDIRECT,http://snomed.info/id/781308003,108940007
1721264,talimogene laherparepvec,PIN,763517001,Talimogene laherparepvec-containing product,INDIRECT,http://snomed.info/id/763517001,108940007
1723735,ixazomib,IN,781324002,Ixazomib-containing product,INDIRECT,http://snomed.info/id/781324002,108940007
1745099,ixekizumab,IN,763603002,Ixekizumab-containing product,INDIRECT,http://snomed.info/id/763603002,108940007
1746889,reslizumab,IN,781214008,Reslizumab-containing product,INDIRECT,http://snomed.info/id/781214008,108940007
1792776,atezolizumab,IN,763505003,Atezolizumab-containing product,INDIRECT,http://snomed.info/id/763505003,108940007
1801820,lifitegrast,IN,763569006,Lifitegrast-containing product,INDIRECT,http://snomed.info/id/763569006,108940007
1828,busulfan,IN,2571007,Busulfan-containing product,INDIRECT,http://snomed.info/id/2571007,108940007
1872251,brodalumab,IN,763604008,Brodalumab-containing product,INDIRECT,http://snomed.info/id/763604008,108940007
1876366,ocrelizumab,IN,763559000,Ocrelizumab-containing product,DIRECT,http://snomed.info/id/763559000,108940007
1876376,dupilumab,IN,763589007,Dupilumab-containing product,INDIRECT,http://snomed.info/id/763589007,108940007
190353,daclizumab,IN,109133001,Daclizumab-containing product,DIRECT,http://snomed.info/id/109133001,108940007
191831,infliximab,IN,108675009,Infliximab-containing product,INDIRECT,http://snomed.info/id/108675009,108940007
1923319,sarilumab,IN,763522001,Sarilumab-containing product,INDIRECT,http://snomed.info/id/763522001,108940007
1928588,guselkumab,IN,763578000,Guselkumab-containing product,INDIRECT,http://snomed.info/id/763578000,108940007
194000,capecitabine,IN,108761006,Capecitabine-containing product,INDIRECT,http://snomed.info/id/108761006,108940007
194279,palivizumab,IN,108725001,Palivizumab-containing product,DIRECT,http://snomed.info/id/108725001,108940007
196102,basiliximab,IN,109135008,Basiliximab-containing product,DIRECT,http://snomed.info/id/109135008,108940007
196239,raltitrexed,IN,326914003,Raltitrexed-containing product,INDIRECT,http://snomed.info/id/326914003,108940007
1989100,benralizumab,IN,763652003,Benralizumab-containing product,INDIRECT,http://snomed.info/id/763652003,108940007
1989289,cordycepin,IN,428013003,3'-deoxyadenosine-containing product,INDIRECT,http://snomed.info/id/428013003,108940007
202912,interferon alfa-n1,IN,346530008,Interferon alfa-n1-containing product,INDIRECT,http://snomed.info/id/346530008,108940007
2047232,baricitinib,IN,763701005,Baricitinib-containing product,DIRECT,http://snomed.info/id/763701005,108940007
2053436,tildrakizumab,IN,771665003,Tildrakizumab-containing product,INDIRECT,http://snomed.info/id/771665003,108940007
2058826,cemiplimab,IN,781611008,Cemiplimab-containing product,INDIRECT,http://snomed.info/id/781611008,108940007
2105,carmustine,IN,51326002,Carmustine-containing product,INDIRECT,http://snomed.info/id/51326002,108940007
2107301,ravulizumab,IN,783573003,Ravulizumab-containing product,DIRECT,http://snomed.info/id/783573003,108940007
2109055,tagraxofusp,IN,783577002,Tagraxofusp-containing product,INDIRECT,http://snomed.info/id/783577002,108940007
2121085,siponimod,IN,787019001,Siponimod-containing product,DIRECT,http://snomed.info/id/787019001,108940007
214470,denileukin diftitox,IN,398881002,Denileukin diftitox-containing product,INDIRECT,http://snomed.info/id/398881002,108940007
214555,etanercept,IN,118259007,Etanercept-containing product,INDIRECT,http://snomed.info/id/118259007,108940007
214582,glatiramer,IN,108754007,Glatiramer-containing product,DIRECT,http://snomed.info/id/108754007,108940007
2166040,risankizumab,IN,787746000,Risankizumab-containing product,INDIRECT,http://snomed.info/id/787746000,108940007
2174090,polatuzumab vedotin,IN,788329003,Polatuzumab vedotin-containing product,INDIRECT,http://snomed.info/id/788329003,108940007
224905,trastuzumab,IN,327397006,Trastuzumab-containing product,DIRECT,http://snomed.info/id/327397006,108940007
2262279,crizanlizumab,IN,830102002,Crizanlizumab-containing product,INDIRECT,http://snomed.info/id/830102002,108940007
2264108,"fibrinogen, human",PIN,312063004,Human fibrinogen-containing product,DIRECT,http://snomed.info/id/312063004,108940007
2267582,trastuzumab deruxtecan,PIN,838478007,Trastuzumab deruxtecan-containing product,DIRECT,http://snomed.info/id/838478007,108940007
2277607,enfortumab vedotin,PIN,836465002,Enfortumab vedotin-containing product,INDIRECT,http://snomed.info/id/836465002,108940007
2288236,ozanimod,IN,871800005,Ozanimod-containing product,DIRECT,http://snomed.info/id/871800005,108940007
2346,chlorambucil,IN,46009007,Chlorambucil-containing product,INDIRECT,http://snomed.info/id/46009007,108940007
2391541,satralizumab,IN,897291006,Satralizumab-containing product,INDIRECT,http://snomed.info/id/897291006,108940007
24698,fludarabine,IN,108763009,Fludarabine-containing product,INDIRECT,http://snomed.info/id/108763009,108940007
2475166,voclosporin,IN,1149188006,Voclosporin-containing product,INDIRECT,http://snomed.info/id/1149188006,108940007
25120,flunisolide,IN,43879000,Flunisolide-containing product,DIRECT,http://snomed.info/id/43879000,108940007
2539967,dostarlimab,IN,1156880006,Dostarlimab-containing product,INDIRECT,http://snomed.info/id/1156880006,108940007
27169,leflunomide,IN,109143003,Leflunomide-containing product,DIRECT,http://snomed.info/id/109143003,108940007
274771,nelarabine,IN,418538001,Nelarabine-containing product,INDIRECT,http://snomed.info/id/418538001,108940007
283746,tasonermin,IN,421457001,Tasonermin-containing product,INDIRECT,http://snomed.info/id/421457001,108940007
291204,tacalcitol,IN,332214000,Tacalcitol-containing product,INDIRECT,http://snomed.info/id/332214000,108940007
29523,meprednisone,IN,61181002,Meprednisone-containing product,DIRECT,http://snomed.info/id/61181002,108940007
299635,alefacept,IN,398857009,Alefacept-containing product,DIRECT,http://snomed.info/id/398857009,108940007
3002,cyclophosphamide,IN,74470007,Cyclophosphamide-containing product,INDIRECT,http://snomed.info/id/74470007,108940007
3008,cyclosporine,IN,80906007,Cyclosporine-containing product,INDIRECT,http://snomed.info/id/80906007,108940007
302379,omalizumab,IN,406442003,Omalizumab-containing product,DIRECT,http://snomed.info/id/406442003,108940007
3041,cytarabine,IN,89265009,Cytarabine-containing product,INDIRECT,http://snomed.info/id/89265009,108940007
3098,dacarbazine,IN,77750008,Dacarbazine-containing product,INDIRECT,http://snomed.info/id/77750008,108940007
318341,cetuximab,IN,409401002,Cetuximab-containing product,DIRECT,http://snomed.info/id/409401002,108940007
321952,pimecrolimus,IN,385581009,Pimecrolimus-containing product,INDIRECT,http://snomed.info/id/385581009,108940007
3264,dexamethasone,IN,7561000,Dexamethasone-containing product,DIRECT,http://snomed.info/id/7561000,108940007
327361,adalimumab,IN,398728003,Adalimumab-containing product,INDIRECT,http://snomed.info/id/398728003,108940007
337523,ixabepilone,IN,429022006,Ixabepilone-containing product,INDIRECT,http://snomed.info/id/429022006,108940007
342369,lenalidomide,IN,421737001,Lenalidomide-containing product,DIRECT,http://snomed.info/id/421737001,108940007
35302,sirolimus,IN,116109004,Sirolimus-containing product,DIRECT,http://snomed.info/id/116109004,108940007
354770,natalizumab,IN,414804006,Natalizumab-containing product,INDIRECT,http://snomed.info/id/414804006,108940007
356988,efalizumab,IN,407006005,Efalizumab-containing product,DIRECT,http://snomed.info/id/407006005,108940007
358258,bortezomib,IN,398907002,Bortezomib-containing product,INDIRECT,http://snomed.info/id/398907002,108940007
37776,temozolomide,IN,116099008,Temozolomide-containing product,INDIRECT,http://snomed.info/id/116099008,108940007
38221,thymalfasin,IN,421968008,Thymosin alpha 1-containing product,DIRECT,http://snomed.info/id/421968008,108940007
38508,treosulfan,IN,326774002,Treosulfan-containing product,DIRECT,http://snomed.info/id/326774002,108940007
39541,vinorelbine,IN,108792008,Vinorelbine-containing product,INDIRECT,http://snomed.info/id/108792008,108940007
4089,estramustine,IN,108768000,Estramustine-containing product,INDIRECT,http://snomed.info/id/108768000,108940007
4126,amifostine,IN,108823002,Amifostine-containing product,DIRECT,http://snomed.info/id/108823002,108940007
4132,ethoglucid,IN,326748008,Etoglucid-containing product,INDIRECT,http://snomed.info/id/326748008,108940007
4179,etoposide,IN,56928005,Etoposide-containing product,INDIRECT,http://snomed.info/id/56928005,108940007
42316,tacrolimus,IN,109129008,Tacrolimus-containing product,INDIRECT,http://snomed.info/id/109129008,108940007
42333,trimetrexate,IN,91339009,Trimetrexate-containing product,INDIRECT,http://snomed.info/id/91339009,108940007
42405,muromonab-CD3,IN,412251003,Muromonab-CD3-containing product,DIRECT,http://snomed.info/id/412251003,108940007
44151,clofarabine,IN,417601005,Clofarabine-containing product,INDIRECT,http://snomed.info/id/417601005,108940007
44157,cladribine,IN,108800000,Cladribine-containing product,INDIRECT,http://snomed.info/id/108800000,108940007
4488,floxuridine,IN,75927008,Floxuridine-containing product,INDIRECT,http://snomed.info/id/75927008,108940007
4492,fluorouracil,IN,3127006,Fluorouracil-containing product,INDIRECT,http://snomed.info/id/3127006,108940007
4582,tegafur,IN,421459003,Tegafur-containing product,INDIRECT,http://snomed.info/id/421459003,108940007
5021,griseofulvin,IN,64349004,Griseofulvin-containing product,INDIRECT,http://snomed.info/id/64349004,108940007
5333,histamine,IN,768672006,Histamine-containing product,DIRECT,http://snomed.info/id/768672006,108940007
5657,ifosfamide,IN,108757000,Ifosfamide-containing product,INDIRECT,http://snomed.info/id/108757000,108940007
56946,paclitaxel,IN,67735003,Paclitaxel-containing product,INDIRECT,http://snomed.info/id/67735003,108940007
5879,interferon alfa-2a,IN,108796006,Interferon alfa-2a-containing product,INDIRECT,http://snomed.info/id/108796006,108940007
5880,interferon alfa-2b,IN,108797002,Interferon alfa-2b-containing product,INDIRECT,http://snomed.info/id/108797002,108940007
5885,interferon type II,IN,136113003,Interferon gamma-containing product,INDIRECT,http://snomed.info/id/136113003,108940007
59744,interferon alfacon-1,IN,768875005,Interferon alfacon-1-containing product,INDIRECT,http://snomed.info/id/768875005,108940007
59943,imiquimod,IN,108939005,Imiquimod-containing product,DIRECT,http://snomed.info/id/108939005,108940007
6048,inosine pranobex,IN,324757004,Inosine pranobex-containing product,DIRECT,http://snomed.info/id/324757004,108940007
612937,interferon alfa-n3,IN,768869001,Interferon alfa-n3-containing product,INDIRECT,http://snomed.info/id/768869001,108940007
614391,abatacept,IN,421412005,Abatacept-containing product,DIRECT,http://snomed.info/id/421412005,108940007
6371,levamisole,IN,54391004,Levamisole-containing product,DIRECT,http://snomed.info/id/54391004,108940007
6466,lomustine,IN,40999006,Lomustine-containing product,INDIRECT,http://snomed.info/id/40999006,108940007
657797,temsirolimus,IN,427299005,Temsirolimus-containing product,DIRECT,http://snomed.info/id/427299005,108940007
6674,mechlorethamine,IN,29156002,Mechlorethamine-containing product,INDIRECT,http://snomed.info/id/29156002,108940007
6718,melphalan,IN,544002,Melphalan-containing product,INDIRECT,http://snomed.info/id/544002,108940007
68442,filgrastim,IN,108965009,Filgrastim-containing product,INDIRECT,http://snomed.info/id/108965009,108940007
68446,pemetrexed,IN,411089001,Pemetrexed-containing product,INDIRECT,http://snomed.info/id/411089001,108940007
6851,methotrexate,IN,68887009,Methotrexate-containing product,INDIRECT,http://snomed.info/id/68887009,108940007
69634,sargramostim,IN,388375003,Sargramostim-containing product,INDIRECT,http://snomed.info/id/388375003,108940007
6996,mitobronitol,IN,29089004,Mitobronitol-containing product,INDIRECT,http://snomed.info/id/29089004,108940007
7005,mitoxantrone,IN,108791001,Mitoxantrone-containing product,INDIRECT,http://snomed.info/id/108791001,108940007
70161,molgramostim,IN,327112008,Molgramostim-containing product,INDIRECT,http://snomed.info/id/327112008,108940007
70167,lenograstim,IN,327123007,Lenograstim-containing product,INDIRECT,http://snomed.info/id/327123007,108940007
70223,aldesleukin,IN,108804009,Aldesleukin-containing product,INDIRECT,http://snomed.info/id/108804009,108940007
709271,certolizumab pegol,IN,430307008,Certolizumab pegol-containing product,INDIRECT,http://snomed.info/id/430307008,108940007
712566,ofatumumab,IN,444609007,Ofatumumab-containing product,DIRECT,http://snomed.info/id/444609007,108940007
7145,mycophenolic acid,IN,409331009,Mycophenolic acid-containing product,DIRECT,http://snomed.info/id/409331009,108940007
72257,interferon beta-1b,IN,108751004,Interferon beta-1b-containing product,INDIRECT,http://snomed.info/id/108751004,108940007
72435,anakinra,IN,395279009,Anakinra-containing product,INDIRECT,http://snomed.info/id/395279009,108940007
72962,docetaxel,IN,108806006,Docetaxel-containing product,INDIRECT,http://snomed.info/id/108806006,108940007
